Year,Vehicle Class,2WIC,2WN,2WT,TOTAL
2013,ADAPTED VEHICLE,2288,1711,0,3999
2013,M-CYCLE/SCOOTER,1,12851537,0,12851538
2013,M-CYCLE/SCOOTER-WITH SIDE CAR,0,24395,0,24395
2013,MOPED,0,505758,0,505758
2013,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,141,141
2013,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,844,844
2013,MOTORISED CYCLE (CC > 25CC),0,269,0,269
2014,ADAPTED VEHICLE,3209,2064,0,5273
2014,M-CYCLE/SCOOTER,0,14334163,0,14334163
2014,M-CYCLE/SCOOTER-WITH SIDE CAR,0,27259,0,27259
2014,MOPED,0,514992,0,514992
2014,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,102,102
2014,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,916,916
2014,MOTORISED CYCLE (CC > 25CC),0,314,0,314
2015,ADAPTED VEHICLE,3497,3596,0,7093
2015,M-CYCLE/SCOOTER,0,14657867,0,14657867
2015,M-CYCLE/SCOOTER-WITH SIDE CAR,0,17812,0,17812
2015,MOPED,0,529134,0,529134
2015,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,150,150
2015,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,1294,1294
2015,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2015,MOTORISED CYCLE (CC > 25CC),0,314,0,314
2016,ADAPTED VEHICLE,3194,4030,0,7224
2016,M-CYCLE/SCOOTER,0,15916404,0,15916404
2016,M-CYCLE/SCOOTER-WITH SIDE CAR,0,13546,0,13546
2016,MOPED,0,556084,0,556084
2016,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,140,140
2016,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,2744,2744
2016,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2016,MOTORISED CYCLE (CC > 25CC),0,860,0,860
2017,ADAPTED VEHICLE,5322,5185,0,10507
2017,M-CYCLE/SCOOTER,0,17300008,0,17300008
2017,M-CYCLE/SCOOTER-WITH SIDE CAR,0,11319,0,11319
2017,MOPED,0,590940,0,590940
2017,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,328,328
2017,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,5415,5415
2017,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2017,MOTORISED CYCLE (CC > 25CC),0,159382,0,159382
2018,ADAPTED VEHICLE,9426,5487,0,14913
2018,M-CYCLE/SCOOTER,2,18601065,0,18601067
2018,M-CYCLE/SCOOTER-WITH SIDE CAR,0,17503,0,17503
2018,MOPED,0,601681,0,601681
2018,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,1343,1343
2018,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,14303,14303
2018,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,2,2
2018,MOTORISED CYCLE (CC > 25CC),0,340862,0,340862
2019,ADAPTED VEHICLE,9677,38,0,9715
2019,M-CYCLE/SCOOTER,0,17756470,0,17756470
2019,M-CYCLE/SCOOTER-WITH SIDE CAR,0,19822,0,19822
2019,MOPED,0,521068,0,521068
