Year,Vehicle Class,3WN,3WT,TOTAL
2024,E-RICKSHAW(P),0,481763,481763
2024,E-RICKSHAW WITH CART (G),0,58936,58936
2024,THREE WHEELER (GOODS),0,124979,124979
2024,THREE WHEELER (PASSENGER),0,555195,555195
2024,THREE WHEELER (PERSONAL),976,0,976
2025,E-RICKSHAW(P),0,272034,272034
2025,E-RICKSHAW WITH CART (G),0,50277,50277
2025,THREE WHEELER (GOODS),0,76584,76584
2025,THREE WHEELER (PASSENGER),0,344022,344022
2025,THREE WHEELER (PERSONAL),735,0,735
Till date,E-RICKSHAW(P),339,2122521,2122860
Till date,E-RICKSHAW WITH CART (G),0,192649,192649
Till date,THREE WHEELER (GOODS),0,1923677,1923677
Till date,THREE WHEELER (PASSENGER),443282,7680276,8123558
Till date,THREE WHEELER (PERSONAL),228525,2,228527
